Description_preprocessed,Potential_Accident_Level
when performing shotcrete test for resale on cruise 791 no 1940 at approximately the operator wa placed on the left side of the equipment and started the release of 02 cubic meter at that time decided to paralyze the task for a few minute due to a leak of water in the roof box they did not allow the adhesion on the shotcrete to the rock setting when restarting on shotcrete launch the operator that is on the left side moved to the right side of the equipment while the assistant and the operator minaret to see that there wa no pumping pump to verify whatever happened and after they returned they realized that the operator wa not so they assume that he had fallen down a chimney they left a job to ask for help immediately the emergency response brigade and the medical service are activated who verify the death of the collaborator the accident investigation begin,V
the maid wa used a pipette for cake preparation but dna analysis while trying to place them on the other 6th avenue pipette came to break causing a superficial hole in first right hand,III
in the area of each tool of the maestranza the mechanic injured are operating the bench drill drilling a metal jacket of 25 and 26 x 34 lining to catch in the skip this moment he wa accompanied to the mechanic albino who manipulated the jacket and directed the maneuver in the right side of each drill my albino tell him to stop the drill to verify the depth of the drill luis lift the rail and albino pull the iron and verifies that everything is fine and communicates that they will restart with the drilling of the whole hole that moment the victim without apparent reason cross his left arm with the jacket on and is caught by the drill in his work clothes causing the injury described,IV
the employee a nurse killed the moment called said front door for not seeing that woman had a slight swelling in the frontal region due through an appearance of the glass door,I
action continued on smaller equipment breaker arm extension cylinder local ii and level 316 during the release of the cylinder from the scaller arm when releasing the fixing pin the ball came down and bumped on the tool used to press his hand toward the tool or the structure of the equipment,I
until 1020 hour on 05182017 at the end of the concentrate for cleaning the driver also required to close the door at that moment injured colleague who wa in the back of the vehicle reported having an injury to his left hand he is transferred to central medical center for his condition and later evacuation to the hospital,IV
at station i general route transport mechanic on duty of section 40 transport is observed in the activity or withdrawal check center of pom d071 at this moment he is stabbed by a pulp of the line of discharge stuck causing irritation in upper right part of the neck and ear the mechanic is referred to the care center for evaluation,II
in moment when the 02 collaborator carried out their inspection on the conveyor belt area 3 from the tail pulley when they were at the height of the load polymer no 372 the maslucan collaborator heard a noise where note was the belt from moving towards the main pulley 4 buried mineral fragment are projected towards the access of death ramp like the 2 collaborator being evacuated towards the medical post,IV
this information that the worker wa walking along the straight line of level 2790 step on a day of approximately 8 am i 5 cm bending the right ankle which had the injury described after the explosion occurred the worker decided not to report the accident because he did not feel pain whereas approximately 18 begin to recognize discomfort when walking and progressive mild pain in the ankle in that moment then communicates the event,IV
upon entering the building each woman slipped but waited just behind the front door in anticipation of the entry with the floor wa wet and loud,II
they report that a safe and unlock a catholic crypt with the digger dead diver will not realize whether the blade wa pressed so that the cable detached and hit his face,IV
at level 2930 in the guide code created during the preparation from processing rice for the secrete the worker repeats the emptying of a bag of cement towards its bucket to complete the blend at that moment the dust generated by the cement enters by the lower surface of the lens to right left eye causing irritation,IV
my emerson wa moving tray when climbing the staircase that give access to the school common room after finding himself on the last landing... slip and fall to the floor supporting the body forward suffering blow to the right knee to the floor a well a in the nose with the metal tray it wa toes causing a cut in the nose an hematoma in its head,III
three instances whereby the worker prepared food in the electric closet but not ensuring the lid fall on his body causing widespread fire described,II
september 1937 before the worker and two partner were placing this killer bomb in the basket of a manitou team the worker fired the index button before its right one against the basket,II
approx 1840 hour my luis maintenance team of mobile equipment plant one bolt in the front bar j005a at which time his face is impacted by the key used for this activity producing a circular cut in his surface of but face he is transferred of the medical correctly attended hospital registered,II
in circumstance that the driver of the plate truck w5k915 of the ee improve went from the motor plant chichin to nv3420 after entering an internal mine in the area of santa where 200 i approx from the old dining room in the vehicle and informs the copilot that the can no longer drive for which the turn off the vehicle and when trying to get off the van loses his balance and fall on his own seat complaining some pain in lower lumbar area citing pain due to overexertion due to routine activity evacuation of motor oil and solid waste cylinder area was previously performed the collaborator at the beginning of the event used their corresponding epps,IV
the employee performed insertion and adjustment over her spine and the common flange of a 54 tubing with one of the wedge hinges causing movement in the flange if the distal and ith finger of the left hand should be pressed,IV
the convoy of a type 15 operated by my tito is seated within hopper op positioning the est car under the hopper crew ladder doe not observe anything out of the hopper dry load there is no view of water and on the chute for this the hydraulic module of the hopper is turned on and with the control it slightly move the hopper handle and an untimely flow of water and mud splash the operator generating the described injury in addition the collaborator wa 7 meter from the line of fire,IV
when the engine additive wa taken from the afo755 license plate towards the launching team with 26 the collaborator boniface robot assistant at the moment he received two bucket emptiness of the operator enoch feel that he drop a drop of additive in the collective eye feeling a dizzy sensation so he immediately go out wash the affected eye in the team eye then the collaborator is evacuated to nascar at some time of the accident the employee use glass but he for not using them as,IV
being the driver of the steel plate dump truck 35 ton wa brought to the loading area 00 ob to 007 bp105 c and staying with the ore loading with the scoop 11 yr at that moment lift the first scoop towards the top during a large metal fall causing the tipper to shake violently and the operator to be hit with the gear lever passed to the supervisor and evacuated to the medical center,IV
the injured and his collaborator at the time of making the 4 hope pipe which wa to be used for hydraulic filling is released causing one of the end of the pipe an impact onto the bottom causing electrical injury in the force 1 concentrate and release a cylinder the pipe this action generates that the pipe presented with the rubber of the victaulica cola is released generating electrical impact previously described the pipe becomes empty without hydraulic action,III
in circumstance the ahk903 license plate empress which serf the supervision of has carried out the field inspection in the upper bank 4288 when unexpectedly when climbing through with operational access positive ramp it slide in an excavated area about approximately 3 meter high remaining behind it with in front part on the floor and rear of the vehicle made check of the safety belt and all four complete epps,IV
and what owner or the worker of the company that has made the cut of lemon at that time at the knife generating a movement and impacting on we first finger of our left hand causing a deep cut,II
employee assistant and before removing the zinc sheet from that cathode to take it to the roof he slipped with a hand repeatedly and hit at left foot,II
during their execution of its task of assembling the box of testimony box in the area of bonsucesso around orlando research driller yeosol trying to fit two rails of the trestle a loose piece fell on his hand which wa on the piece was held causing a small shock to his left thumb the employee wa touched his so lucas hospital was lda and attended and released without further work soon after,IV
the group slowly moved toward his activity on shore station when he stepped on a weight object over a sloping surface she saw herself unbalancing the employee who stepped on false twisting her ankle,IV
during the field activity in the federal project target so luiz cruz reconnaissance team wa boarding the car it wa parked with the window closed when they entered the my paulo putting no seat belt inside the vehicle pressed a wasp between the shoulder and the neck causing extreme reaction it is expected that possibly the bee wa nailed on the clothes because the bee wa properly away,I
after landing on bolted seats in level 285 it of ramp six the master and operator of the equipment fire test on the equipment magazine when the magazine carousel also turned over both operator had their first middle finger pressed against the equipment frame,III
being approximately approximately when lifting the kelly he strikes the middle of the first he align it the assistant marco diaz is building the later stage is struck the hand behind this frame generating the echo,III
other collaborator moved from national infrastructure office julio to the toilet when the pin atop their support shoe is hooked on the bra of the left knee causing not can take the step unless fall untimely by infection described,II
during the environmental rehabilitation activity in another area the employee wa surprised by a swarming swarm of weevil during the maintenance of the place endured suffering two little tears off of their face and the other in his middle finger of the left...,II
1 employee performed the activity of stripping cathode when pulling ring chain and his hand reached the point of open cathode causing a blunt reaction on wrist and finger of the remaining hand,II
so when the assistant got her floor of module e in his central camp she climbed off and immediately touched the top table to avoid falling to below floor suffering this described injury,II
