Description,Potential_Accident_Level
"sweaty fingers pulling the strap from a chemical container as it projected toward him against his lower lip and anterior chest, the skin was contaminated with the soda it radiated a ninety degree headache.",II
"when cutting trees vegetation to open open mouth, using a sickle, this vampire chopped the vine twice. when the jaw ruptured, the top of the neck projected against to toe of the auxiliary causing the cut in the upper lip.",I
"on september 17, 2016 by approximately 8 : 12 pm, during the preventive maintenance of the g2142 debarking machine, the bearing assembly is made on the anode cleaning roller ; when fitting the bearing into its final position, the staff used a chisel and a 4 - pound rope with position the screw. the worker places her left hand near the head of the chisel because when, for these circumstances a magnet is embedded in the proximal part of the thumb of the left hand, immediately the collaborator communicates to the supervisor and is evacuated to the medical for review.",II
"employee sources say he was monitoring the existence and his prototype of a vent for the thermal recovery section of the ustulation area, through the side window, when he was greeted by projection of heated air that reached his face and left forearm.",IV
"collaborator around 9 : 00 am, using the leaves of the return well from the ancient borehole brapdd 0183 slipped on the canvas that was covering the back towards the well, hitting the right side of the back against the support structure within the mud - swathed box causing a slight excoriation. the employee quickly referred to the local hospital, medicated of released for the activities.",I
"the employee was performing maintenance of the blower, after the same water projection occurred on his face. in other examination by end ppe, the same colleague has had contact with contaminated gloves with the black eye causing swelling.",II
"the lubricating technician alfredo made the oil spill using the reducer d - 100, in which, he notices an oil leak ( tearing ) between some length of oil hose and oil reducer, correcting the leak. while the work is finished, he goes through the lubricants workshop where he removes the gloves and observes that both hands are charred by contact with the hot surface and goes to the maintenance center where he was treated.",II
"during routine maintenance of the access, when the moment the assistant places the mechanical accelerator set in the adapter, the clamp - which was locked - returns to its normal position hitting in patient's hand causing the described injury. at the time after the accident the team was in a sustained area, the arm of the jumbo was at a height of 5. 80m on the floor and the employee was wearing rubber gloves.",III
"scratching and punching something into a utensil for skimmer and stir inside the pressure device when part of the cable broke, reaching one hand causing another blunt cut.",III
in circumstances in 1982 the operator of platforms n ° 2 went down the ladder to the height of the resting platform - at 63. 80 ca. floor level - slips off balance when hitting your back against the handrail of the operators'apartment door. at the time for the event the injured officer used all his epp's.,IV
"machine technician operator when heading towards the zone of lifting made of dust of rice in the section level, uses a space between base artificial tranquera and sardinel, slipping in the edge and raspandose in behind of thorax. this was treated at the medical center with local treatment, returning to national work group.",III
"at 14 : 55h hours 27 september, a worker from confipetrol carried up industrial cleaning of the outside of the boiler feed tank hose, to check the progress of the helmet mask ; moment more hose pipe were released hose was pierced with pressure plates ( for water and air ), impacting lips",II
"being 05 : 30 am. approximately he and isidro torres they were performing electric pipe standardization of batch cx 771 / cx - 86 nv. 1940 ; these moments that marco lifts the wire pipe over the spike, firing stops and the pipe impacts towards the worker'o safety guard.",II
"being at 11 : 00 a. s. approximately the mechanic has removing the last bolt for the 6 "" nipple in vacuum pump 4115 ( lime gas ), reactive area, the mechanic is only slightly flexing the legs and performs upward force from both hands, in that moment feels a pain and a spume in the right thigh. the mechanic got evacuated with the help of four colleagues to the medical clinic.",I
"at 10 : 50 a. c. approximately, in the maintenance workshop was the e. e unicon, in circumstances whereby two mechanical technicians placed the protective plate ( 55 kg. ) of the mixkret 111 fuel tank, at the point of impulse to bolt this protective plate it slips from the hands a one of them falling flat on the instep of the left foot, causing further injury described.",III
"by 5 : 15 m. m. in the night. of the nv 1710 cx 018, the mixkret operator was washing the mixkret machine with a hose to water under pressure, it is necessary to change the location ; from the east side to the left and he proceeds to drill a hose then slips and reports that the left foot bends.",II
"after throwing out the supply operation of the zinc powder container using the crane or move it, first employee moved the lower lock of this same holder which when making the movement to push the lock did an actual push with the thumb of the right thumb, causing sprain.",III
after promotional promotion of cathode technology some employee plans to press the finger with the tool that cuts his sample.,II
"at the corner of level 3970 - main st and access to the south ramp, the collaborator, after having freed her tube 2 inches in diameter from the gable, descended holding its pipe on the fourth step of a telescopic aluminum ladder ( approximately at 1. 20 feet from the floor ) at which point another clamping point in the gable got lifted by lifting the tube which wakes the worker causing him to seek balance and fall from its height of 1. 20 meters. the second injury occurring.",IV
"in the probe 5068 bore bapdd00146, around 15 : 00 hours, second polling officer luciano da silva performing the maneuver of descending rods, led this rod to the gutter, but this when not leaning suitably out to escape the gutter returning towards the easel. his hand had slipped and his little finger slipped against the rod and the easel. realizing why the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. the auxiliary was taken to hospital and attended only, the wound resulted in 5 points and the was released for administrative evaluation.",III
"at the offices of incimmet, in condition that an environment could being set up to test cleaning cloth, a wooden strip was placed between some staircase structure and the container, this strip was not cut to size, so the accident victim had coordinated with his classmates to put it under pressure using a hammer while holding between his right ear the tie, this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall, at that time, continuing to hit the ribbon, this falls causing the wall of the container to return to its initial position, pressing the tip of the little finger of the right hand against the corrugated iron causing the accident.",II
"outside the area of equipment inspection, while the staff of the atenuz ee, trying out remove the hydraulic hammer safety locks of the excavator, the mechanical lubricator holds out his right hand a hat - type chisel while the equipment mechanic bangs the chisel with a 2 - pound hammer bump to remove the safety, at which point one of the blows falls on the edge of the hat - type protector, causing it to slip and strike on fourth finger upon the lubricant mechanic's right hand generating the described injury. at the moment of the crash, the lubricator mechanic had put on the hair type pad.",IV
"being approx. 23 : 45 hrs. mr. eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and upon approaching to close this gate, in place at the moment, the operator mr. perez who was on the upper platform, coordinates from the operator of the control room the start of strip 6 - 1, at the moment the start - the product projects a particle ( 10x6x5cm ) impacting on the flange of the lens and projecting back towards the height of the lenses and respirator of mr. eliseo.",IV
albert went doing rounds near the area of the pneumatic conveyor when being accidentally hit by a drop of dark substance upon his left lip.,III
"employee stepped during the support of the gate, while an other the tying of the canvas in the fence, and by pressing heavy rope so that the canvas stretched, the wooden structure slid, coming out of the wooden support, falling and striking with the employee's face, causing a cut in either right shoulder.",II
"in level i, the operator carried out the removal of inchancanbles of the reciprocating feeder, while removing it split cut with the ends of a rope, the staff at the left hand on the structure of the protection against falling, it being from this moment that another split set comes out together with the rope and hits near the distal phalanx of the fifth finger of the left hand, for the described injury.",IV
"in circumstances that the assistant of mine was arranging to advance the hose of flexible nylon of 400 "" of diameter, to help with the watered the shot fired, positioning itself under a zone with the support deteriorated by the last blasting, moment in which it gives off a lot of rock ( rock ; 3. 5 kg ) toward the end of the work from a height of 5. 2 meters which when falling hits by rebound in the left leg of the collaborator have the worst injury.",IV
"2 mine during the diamond events of two positive 15 hour drill, in moments after the control tube was rescued with the fisherman, the winch cable breaks untimely developing a whiplash effect and impacting on on left hand of individual drilling assistant causing the described injury. at the first of the accident the supervising assistant was on the platform at 1. 0m from the frame and was using two hycron - type safety gloves.",IV
"as the employee threw the thermal recovery boiler and an air pump, the string loosened from the pipe wall, drawing this plug of fresh blood near his right ear, causing impact noise.",III
"from his moment of loading of firearms in front of warehouse 326 building, there was a fall a fractured rock fragment reaching one arm to the blaster causing a cut - blunt.",IV
"in circumstances that the mechanical technician that his work colleague arranged to accommodate the spare ( passenger ) of the small 02 on the platform of the truck on the floor, the two squat collaborators decide to push one on each side, at which time the edge of the strap imprisons the third finger of left hand against the handle of their cart on the left side, causing the wound on the second finger left hand. at same time before the accident both employees used their respective gloves.",IV
"once the ore loading in the lt - 30 locomotive was completed ; the penultimate car derails ( 7th gear ), by the presence of fragment of rock in the railway line, ( weight of first collision with mineral 8 tons ), in to get it back on track the mining car, the victim makes use of a metal tube ( length 1. 20 meters and 1 "" diameter ) for maneuver and reposition the mining car ; at that moment the metallic tube loses stability and moves it victim's feet against the strut of the mining car. another collaborator at the time of the event towards the use of his leather gloves.",IV
"at a time when the power equipment technician got on with equipment to check the right front wheel ( defective ) with the scooptram # 181, stepped on top rim position # 2 his left leg which slides, causing then heavy equipment operator to fall from body height about 0. 60 cm",IV
"in the alimak chimney of level 2440, the german driller and his assistant becomes positioned in the main cage with guard heads and have to perform first rock untie at the top of the chimney, it is on this time that the teacher perceives a spark of rock in the environment and communicates to the assistant so that this prevented, when also the rock of 1. 0x0. 80x0. 20 m on the guard points is fragmented and one of the fragments fall on the chain this rebound rubs the operator's right hand generating the fatal injury.",IV
"in the activity of placing boards on surfaces including the exchange of fabrics or water filters, tilting of the plates was inclined, trying to tilt the plate on the correct place, the plate arm pressed the back of the right plate against cross structure of the easel",IV
"when observing the pulp overflow of the overflow reception drawer under the thickener, the filter operator approaches to verify the operation of the c7 - 26 pump, making sure that it are stopped. so press the keypad to start the engine and not getting the start, proceeds to remove the plug and install the motor - pump transmission strips, whose left hand connected between the loops of a water transmission belt",V
"mr. eriks after having completed the change of guide rope in the conveyor belt 7 - 1, the collaborator moved to the wrong side of the belt to remove the tecl, passes under the stairs without getting to acknowledge that in that moment the collaborator jhon dropped an inchancable of a weight approx. of 15 kg. from the entrance platform to the chute electrical discharge, at a height of 1. 50 meters, the iron grazed him along its flank, finally hitting his left foot at estimated height of the collar.",IV
"when inside gasoline furnace 07 in the battery car, there came sparks of hot gas, reaching the face or a employee.",II
"starting at 02 : 10 a. m. mr. wilmer approaches his c150 drying tower for the placement metal protective blanket, to cover the entrance manhole of the tower ; at that moment their plastic cover resting to a wall slides, impacting on his broken leg.",IV
"being the 01 : 30 hour, after the cathode goes through the pre estriping, the sheets are assembled they bend to the cathode of its position, the operator with the right lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palms of the left hand of the operator with a bodyguards and patient attendant, activity is started and the collaborator is referred to the medical post by the head of the guard.",II
"the workers : cesar ( injured ) and nilton receive the order of their immediate superior roman to carry out the assembly activity from a brace ( length 4. 60 m, approximate capacity 50 t ) of the structure of the central belt. 2, said collaborators lift the brace a approach it to the installation point, leaving one end on the ground and the other resting on the corner of the design ( approximate height of 40 cm ). after carrying through the assembly of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. staff is taken is the medical center by the supervisor.",IV
"in the region of povoado vista - de - ce, the technician jose de vieira performed soil collection activities in the field, trained with the auxiliaries manoel da rosa and diassis do nascimento, when around 10 : 00 am, when crossing around fence his glove was attached to the wire and his body projected forward causing a slight bend of the left wrist. the team traveled to the city of granja and the employee was referred to the hospital to consultation. the doctor did not diagnose a fracture, prescribing remedy for local pain and ice packs. by his evaluation the animal can carry out his activities normally.",I
"the digger when descending by ladder or sailor steps 6 steps, falls to the floor going down of the 3er. step, falling on his back and hitting his head. the worker used the skull strap with the helmet, a basic feature that reduced the injury from the blow. he was finished at the medical center with immediate treatment, referred to the clinic and re - exposure.",IV
"being approx. 3 : 10 a. m. mr. denis made the mesh placed in a ventilation hole small by little, while trying even do a horse tie, suddenly had an imbalance connected to the manipulation of tools falling from the third step, propiciandose a blow in the right shoulder and a wound of the wrist of the right hand. later he was moved to the post where he gave first aid.",II
the newspaper reports reported upon initiating 615 feet front loading activity while building just two experiments for use there was a displacement of a small rock hole in the top reaching his left forearm,II
"in level 2900 laundry room, the collaborator finished washing tabolas ( food containers ) of dimensions 72 cm and 30 2 x 20 cm, proceed onto order them by pinking the side of the right arm in the corner of the aluminum tabola, generating local lesion. the parents at the time of the accident did only have safety gloves.",I
"with the development of the shock - type housing, air shooter used a tool to hit the pipe. at this stage of the activity the hole hit the stepladder there was very close, coming to ( the tool ) can be projected onto the left hand thumb, which was holding the piece.",III
"after the welder completed the hard work to reinforce the forms in the rock, he walked towards the distant truck to about 40 mt, at which stage the welder stepped on a fragment of rock of 5 pm x 10cm by 10 approx. which generates that the work has thereby generates the injury in the worker.",II
"during her activity of chuteo of ore in hopper trains ; the operator of the locomotive parks his equipment with it wheel to fill his first car, he is at this moment that when metal was blowing out to release the load, a mud flow suddenly began with the presence of rock fragments ; the personnel whose was in the direction of the flow was covered with mud.",IV
"at times when four mechanics performed the removal of a ( 1tm ) engine on a positive slope of a key and a tyrfor, at one end that the 1st welder tightened the drive ( 12 kg of weight ) without pulling the chain the tie that held this click against the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. the tirfor was used during the activity as additional second protection to prevent the engine from slipping.",IV
"at times when a employees lowered an metal sheet ( 1. 53. 6 ; m 80kg ) towards the floor from a height of 20 cm., the assembly person does something timely remove the hand, trapping his ring finger between the iron and loose earth causing a contusion on his ring fingers. the collaborator at the time allowed the ceremony to put their maneuver gloves.",III
"during the production of the metal form a screw in the inside of well 2, when the bolt of the chain holder was loosened, the employee and a nurse exerted force on the combination wrench, until the ring came to loosen immediately, with the ring finger of the patient's missing hand toward the door.",III
"at 18 : 40 hours, in 1971 when mr. claudio tipper operator readjusted the nuts at the rear tire on the right tyre in his vehicle, using a wheel wrench and some mechanism including an extension to generate greater blocks of torque ; which not done. wilber held him in his back ; suffers a contusion in the palm of the right hand as the extension to his partner slips from his hands.",II
"when entering every dry soda mill building they create one hose to make another wall, at a stage there was steam formation, striking the employee in the right and left calf.",II
"during the activities she revegetation of some slopes of the pit camp ii, from employee hitting the sledgehammer on iron rods for most of her lifeline, it severed her right arm, causing a slight excoriation.",II
"when performing the initial rb - 10 equipment hammer repair, the employee tries to open bar suspenders with the support of a 25 - pound rope ; in the moment without receiving the blow the brace or bolt causes a part would be exposed, expelling and impacting in the lower left limb causing metal embedding in concrete. the collaborator did not notice immediately.",III
"employee reports that he performed hazardous activity in nearby area of santa ustulacion, under the coordination of cia when he was hit via dust behind hoover dam, causing explosions in the adjacent region.",II
"on july 13, the accessories test ( gun - hose ) of the high pressure pump ( bap ) was made to clean the demister of the empty chamber g2172. clearing away the complete procedure, they turn on the bap to start with it start test, at that moment the smoke comes off the gun and hits mr. emerson who not holding the gun.",II
"employee story that when taking the anode to the easel michael even bumped the the gate to the easel coming to impact that hit his right arm, which bruise.",III
"distance? ) : during a maintenance above the bolter equipment ; the collaborator uses a carpenter's knife to be examined to remove a link in its chain of advance the drilling machine, in moments that hits on the side of the chain, the stake hits the back of the log diverting the weight of the hammer causing it to strike his left hand.",IV
"his maid while walking behind the electrolysis area, stumbled and fell next of the waiting for line 20.",II
"in circumstances that the operator performed the lifting of an 8 - inch vitaulic pipe, this is imprisoned in the void above the railing of the truck, instants that pushes the pipe with one whole hand to returns on its original position within the middle surface of the bottle causing a bruise",III
"in performing the movement means small bar to a contacts and place a calibrator. mr. chuquillanqui pushes the bar with both hands turning it, being from that moment imprisoned the same finger of the left hand or its other finger that was ahead.",IV
"employee investigations confirmed he performed soldering procedures when he was pinned near the reactor region by dust that was accumulated in the thermal chamber, causing fire.",II
"at every end of the unleashing of saturated material on one talus crest of bank 4318, the rugged taut fails to hold the work area, tension at which moment a material from the top of the slope emerges ( base of 6m and stool of 3m ) projecting a fragment ( 6cmx2cmx1cm ; 26gr ) which rubs the right cheek causing the injury. at the time of the event the area was isolated and the breach affected all associated epps corresponding to the activity.",IV
"class level 4150 geology - surface, master mine to quickly repair water leakage using a 4 - inch diameter metal distributor, makes a cut of a rim chamber strip diameter 4cm wide x 3 long making using a cutter, his partner stretches the shaft when cutting a force the bottom of the cutter makes pass from the index finger of the left hand causing a superficial cut. at the time of the event the worker was wearing boss gloves.",III
"mr. young withdrew foam like another ajax oven, passing the metal spoon to empty it to the foam waste container. just that minute splash of slag residues, impacting his face and showing a surface burn. the worker was wearing a gas mask.",II
"employee reports that when trying to remove one of its arms from the heating system into the ustulador oven, the 5th finger of the right hand become pressed between the plate ( but with extension ) and the ball flange of the ustulador oven, possibly behind the handle.",IV
"at 39 : 69 minutes, mr. hidalgo, wanting to climb on every starter board but remove the fans, dropped on an unstable reel and, having caught, fell frontally at a level at 2. 98m.",V
"by approximately 8 : 25 p. m. alpha operator mr. hall was heading to mine cave he decides to stop the equipment to accommodate the lights ( now on ), with the support of the arms, catching his fifth finger of the free hand with the protection grid and yelling.",IV
"at 13 : 40 pm, mr. jose performed the erasing of the earthenware of monument 30, and turning for another machine of blasting ( ironing ) of concrete, this tour included imprisoning his clenched hand between the command to the equipment and the metal roof, causing an atriction in the back of the left hand.",II
"in the volvo workshop at first time of cutting steel plate ( thickness 1 in ), for the installation of the mt - 32 scoop lip, with oxicorte equipment, an injured feels temporary discomfort affecting both limbs. at the time of the accident the pilot made use of his full epp, but it soldering iron lens did not make another adjustment without the presence of the lens.",IV
"during he maximum support activity that the level 1 - this was lifting the support pillar on the platform of the scissor head, the employee falls a stumble feels physical pain in the heel of the left foot.",III
"during the preparation for first scaffolding activity, the employee was loading the equipment in one designated place where he kept his finger pressed amongst all smaller pieces who were now moved.",I
"before making the change of support of the vertical pump of 6 "" ( or zinc two has raised a beam of "" h "" ( 4 "" x 2. 7 you and 7 lbs. ) one at each one and being at the height of its injured person's knee slips from his hands causing the injuries described.",IV
"around 11 : 25 a. m., the deslaminator stops untimely, then the operator lowers and locks the machine to verify the result, detecting position on the sheet between another basket and the manipulator. the operator tries and arrange the sheet out and when pulling the sheet, this one between the palm of the right hand with the end of the sheet, is referred to the social center for attention.",III
"employee performed withdrawal of electrical failure in the engine house drawer of station tq 14 a, after the check and exchange of funds, it closed the door behind the drawer that energized the workers, at what process an artery was opened, reaching the face and part if the employee's forearm, causing minor burns.",IV
"in circumstances where the worker hit the support of the hammer beam advance necessary to align the base of the blade against the holes of the beam and place that bolt, mechanical hammer slips and by striking the mechanic's hand hits the edge of the beam causing an injury. at the time of an accident the worker had requested the ppe for this activity.",III
"at level 2995 access # 36, scissor # 187 features individual sustaining activity, drilling the drill to install the split when lifting and electrowelded mesh of 12 square inches ( 6m x 12 ), weight 21 kg. approximately outside the team'up platform, the assistant slips then feels a pain in near inner edge of the right knee.",III
"the auxiliary of general services i, paulo e silva, with 5 months and 10 days of work, was performing the function of soil collection. during the movement of equipment to the next point, holding a lever, it encountered a piece of sloping soil and with interlaced vegetation, so caused the bending of the to the left, the same side where the tool was held. the slight movement prevented the employee from leaning, causing a shock at the elbow with the ground. an employee continued the position for another 3 points of sample collection until you felt the arm bothering.",IV
"during pressure reduction activity through the tube, the cowboy attached the tube under his teeth, and when he hit the tube using another hammer, immediately untied each walrus by reaching his finger.",II
"during the activity of production of concrete blocks for the ventilation plug wall on the cx - 943 of level 1, using circumstances that the worker finds the setting of loose union between concrete blocks, a polyethylene pipe has 7 "" diameter plastic picks around the spike and when it hits it hits the top of the worker's protector.",IV
"at level 3450, tajo enters 2 ; after completing successful drilling of drills for him ; the crew removes the bit from the jumbo arm and walks towards the crew cabin ; from the deck branch the work or fragment or rock that passes through the cocada of the mesh of their "" pipe impacts on its helmet and rebound hits the right shoulder of the operator, generating the described injury.",III
"later approaching the furnace that goes in to process of crushing this mineral ingot, it again disrupted by liquid metal projection.",IV
"during regular slimming activity of the employees consist of 2000 battery 1. the employee began manually remove the waste from his crucible with hand use of a skimmer, felt pain on the left shoulder.",IV
"at 15 : 05 hours, mr. cesar tello - moinsac, entered with out the task of assembling the tree line, when that he climbs up the cat formation and at but approximate intervals was 2. 5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical office for his attention.",IV
"when manipulating materials on the adjacent coal truck, the operators decide i make concessions by moving each radiator, at that moment the driver of his locomotive has imprisoned the little finger of no left hand over the bar.",III
"workers engaged in the removal of earth from the bucket of the well 2 of level 265, using shovel and placing it under the bucket. during the day some of these material fell into the bottom of the employees'vehicles where the friction between the boot and their calf caused a superficial injury to the knee.",I
"and 4 : 15 a. m. on the 179th block of nv 1880 west 7, at the moment that messrs. and roger ( injured ), cleaned the first drill of the wire mesh that was in an inclined hole in the lower gable, and just detaches fragments of rock of 5x5x2 rock. impacting the shoulder.",IV
"employee for transiting an grs area when ross failed to intervene, suffering a twist in both front knee.",III
"on 01 / 23 / 2017, evening 12 : 25 a. m., during the activity during collecting soil, israeli collaborator milton slipped into the branch to was attacked for maribondos. and was bitten twice in the head. no pain, swelling and no allergic stimuli continued with their activities.",I
"for the routine of loading drills in the carmen pit with level 3450, a operator positions the basket of the pit loader 186 equipment at a height of 3m from the floor to carry out regular loading of the production drills ; at this moment, a stone slab weighing 1. 4x0. 2. 2 feet is detached from the front of the pit, which is tilted and lodged around the basket, trapping the right leg of the collaborator.",V
"being 6 : 10 am at times still the collaborator was passing a tubo "" pvc pipe to heavy loader to uncover the fifth hole that was obstructed by a shaft of rock. the force of the jetanol accidentally activates the air valve, causing the loading pipe that was in any bunker to rise suddenly throwing prils of anfo ( excess in fuel ) on right cheekbone and eyelid of the right eye of the man.",III
"in circumstances of the tipper mv - 01 of the ee mceisa, moved of the nv. 3120 to nv. 3300, the operator sees a congestion of equipment in front of his unit in the ramp 990 - at the point of 80 m. of supply via the nv. 3300, and is why he decides to get off the cab by turning off his vehicle, when suddenly she slides off the second rung that is 0. 70 m from first platform, hitting the right forearm region against the fender and the same rung.",III
"at the moment of entering to the mouth of tunel 3600, the employee moves on the left rail of the locomotive lt - 18 ( locomotive of personnel aid that was stationed at the entrance of the mouth ) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. it should be appreciated that the operator continued his duties on the watch for reporting what happened. at 2 : 30 a. m. the extraction supervisor, upon noticing the discomfort of good position in the knee, immediately evacuated up to natclar after reporting to the rescue center.",III
"during many assembly operations of polypropylene steel over 10 "" diameter, the employee moved on the pipe flange, or shook his whole foot.",III
"upon entering the mine interior ; el bodeguero is located only in the litorina n ° 13, last of the rows ; during its displacement, the litorina falls which slides approximately 15 feet ; but is when the operator observes this event and before entering through the entrance so paralyzes the movement of the convoy. the winemaker had my full epps on.",IV
"on 01 / 02 / 2001, at 10 : 15 a. m., when performing the soil activity, the collaborator alex used a pickaxe to assist in her descent of the shallow hole. as he struck the ferranta on open ground, he had a fragment of blood projected on his forehead and a small cut. the activity was stopped following a few moments and it became not necessary to go to the doctor, the employee continued the activities normally.",II
employee was performing drilling activity in junior senior class at level 585 gps where during positioning the needle he came to hit a left hand side finger against one retraction box causing superficial injury.,III
"on 05 / 02 / 2017, at 10 : 40 p. m., when performing geological mapping activity, the geologist manoel e silva accompanied by the geologists luciano dos santos and dayme had to make the crossing to the other side of a fence by wire, found in the region as a goat. it is a fence that from the base up to about 60cm in height is crossed by rods interlaced horizontally and upwards made with little barbed wire barbed, around 15 to 20cm. i jumped on my fence, and still on the fence i managed to "" sweep "" the toe with the left foot but even just while supporting the foot on the ground one male of approximately 10cm x 1cm came to grab the sole of the boot and cause the perforation in the left foot at the height of the fingers.",II
"the collaborator completed by reverse of the nut on the opposite side forming a chute instead of strip 14. 9 - 7, when he pushes up he turns and hits the head guard with the railing, hitting the stump generating the injury.",II
"check section 2900 - op 5 the worker performed the flow ore from one hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform until when he was already down the second rung of the stairway of access, the water increases and a fragment in rock slides and hits the back of the worker causing all the fall and hit your right forearm and left knee.",V
"being 12 : 20 hours later, in circumstances that the administrative ssomac, was arranged to move the guillotine of the right side into the center of our table to make effect of enmicadas pages, when trying to raise the guillotine the middle finger of the right hand it rubs and the edge into the guillotine blade, while the cut in the yolk of the third fingers of the opposite side.",IV
"during the firing through the general cleaning activity, one employee made use of the safety railing, it originally fitted with the clamp lock for lock the electrical board.",II
"in the activity for packaging the cylindrical piece on the easel, two others carried the pieces to the designated site as miller had his pen stuck between the metal pieces that began being created.",I
the injured collaborator and one of his colleagues wanted to smash a rim of a buick tire for assistance using all own strength they flung the rim across the floor to make it roll and in that case the eyelash hits left fifth finger below the right temple against the ring producing the injury.,III
"when after 04 : 30 interval, the operator is removed cleaning accessories under the mobile telephone off line 01, for which has supported his left hand on the rail that was sitting position. at that moment the crushing of the 2nd finger of the left hand occurs ; the injury occurs. injured collaborator is referred to center medical for care.",III
"during spillway circumstances where the worker was cleaning, without the use for thick absorbent cloth, oil residues near the right edge of the atlas axs - 186 compressor, with the bonnet open and in functioning ; the rag falls inside his ompressor and in the rush to remove it, it is hooked on the fan's propeller, pulling the hand'sole left hand toward this propeller causing the injury.",V
"performing carpentry surgery, the doctor hit the second finger behind his broken hand with two hammer, which was held with his right hand, causing a bruise at the height of the nail. the evaluation was carried out in the medical center of philadelphia unit, one final diagnosis being contusion on the finger.",I
"while preparing to remove polypropylene trees, the engineer detached the pickup from each truck and positioned it in place, pressing a lever between this trailer and the tunnel wall.",III
"during manual maintenance of use peristaltic pump 02bp0166 to change the internal hose, the rupture tubing of used reserve pump 02bp0167 seconds after it ceased to operate, dripping solution heated towards the tip, reaching your left forearm causing irritation to he skin.",IV
"during the repair of the reaction pump 02bp0166 to change a internal hose, the rupture tubing of internal reserve valve 02bp0167 further disrupted, after it ceased to operate, designing out directly towards an employee, reaching his left forearm, causing a burn.",IV
"in the nv. iv, cx 212 - south, when the rider loosens a through bolt of the modified cardan system from the century 01, the protector remains released and lays the first finger of the free hand against the connector of the hydraulic steering cylinder ( position unknown ).",V
"• 02 / 15 / 2017 at 14 : 27 pm, when performing the magnetometric using gps, the collaborator antonio bumped the top of the field hat over one branch and was jumped by maribondos. he was bitten inside the ear or another on the shoulder, but he regretted his activity since he felt not pain or swelling.",I
"by averaging 5 : 23 am at its offices of ajani, liliana prepares to store folders in the warehouse, to go to the place it comes out for in iglu, when going down the two steps it lands so diagonally as it sits the left foot on the top of the second drop causing the foot to bend slowly inward, it stabilizes quickly until falling to the ground.",II
"the moment of extracting the axle of the chuck of construction unit vsd 01 ; in another instant that he made connections with the rope times 6lbs. the base of the support bolts, a fragment into the frame and is projected, impacting the face of the mechanic in the described injury.",III
"once the painting of the pumping pipe has not completed, the person then involuntarily wash his face, with his hand ( hand handkerchief ) full of paint, and to clean himself he makes use from a dry industrial field and begins to rub his face, for a period of time running 30 to 40 seconds continuously, until finally the paint on each line is cleaned, this friction generates the described injury.",III
"at the conclusion of the unloading of ore with the amp - 819 plate tipper, in the pit 01, the driver notices that a stretch of support wire are resting in the hopper hatch ; then the driver gets off his equipment ( with the hopper lifted ) to remove with his new supporting mesh, when generating force, fine particles of rock fall and one at them is impregnated in the eye surrounding the injured. at the time and the damage, the injured person used his dark glasses and did not have any surcharges.",IV
"mr. walter was putting his bits in the hopper of a atlas truck that was parked on the cruise 320 of level 1850 ob2b, then the mining operations just arrived driven by engineer operator behind the truck of atlas to occupy 3 meters and without his placed the safety block went to request the data for mine drilling, later the assistant of the simba 04 opened the gate, dropping the bit into the hopper of the mine truck and untimely the vehicle he pulled forward, pinning the mechanic's right forearm.",IV
"a successful transport of pieces and wood with the aid from a spade, the soldier reported a prick in the trousers leg, at that moment stopped his activity, removed the leggings and when shaking the pants noticed that which was a small scorpion.",III
"during the mining cycle at the chimney 410 ; after starting in the drilling work to anchor the lane of the alimak system, his collaborator squat to pick away a manual tool that is mounting the platform ; it is at that spot that the drilling team loses its position and projects on the back of the collaborator taking the injury.",IV
"in the support process, in process that another assistant performs the last cut in the transverse length under the mesh ; the system provides the torque towards the chin and hits the face of the ear injury.",III
"on 02 / 25 / 2017 at 6 : 05 p. m., when assisting with gps in the magnetometric collaborator gilvanio bumped the top of the field hat on a branch and was attacked by maribondos. the moths went towards two eyes, but due to the use of sunglasses, the attack in that region was prevented. the insects moved to the side side the face, getting caught between the ear and the back of the field hat, making the helper get two bites behind the ear. gilvanio is allergic to marimbondos bites, soon the activity was immediately paralyzed, we drove to the car, where an accident took emergency medicine ( antiallergic already used in other situations out from work, indicated by another doctor ) to avoid further swelling. marcelo responsible for the project was also on the field outside the mapping activity, they called on emergency radio immediately. the assistant felt good, but was taken to the emergency of the hospital of lavras do sul, where he consulted the doctor, took antiallergic and was released around 15 : 25.",I
"in moments when the staff of the impromec company was heading in the 447 pique to support shotcrete casting jobs ; the of the electricians does not identify by lane and water in the road, so his right leg fell into gutter of 1. 8 m depth causing the injury. some right of the litorina railway paralyzed for the entrance of this airport.",III
