Description_preprocessed,Potential_Accident_Level
when performing shotcrete casting for resale on cruise 791 no 1940 at approximately the operator wa placed on the left side of the equipment and started the release of 02 cubic meter at that time decided to paralyze the task for a few minute due to a surge of water in the roof box that did not allow the adhesion of the shotcrete to the rock setting when restarting the shotcrete launch the operator that wa on the left side moved to the right side of the equipment while the assistant and the operator minaret to see that there wa no pumping went to verify what happened and when they returned they realized that the operator wa not so they assume that he had gone down the chimney they left the job to ask for help immediately the emergency response brigade and the medical service are activated who verify the death of the collaborator the accident investigation begin,V
the maid wa handling a pipette for sample preparation and chemical analysis while trying to place it on the freeway pear the pipette starts to break causing a superficial cut in her right hand,III
in the area of machine tool of the maestranza the mechanic injured wa operating the bench drill drilling a metal jacket of 25 i 26 x 34 lining to install in the skip this moment he wa accompanied by the mechanic albino who manipulated the jacket and directed the maneuver on the right side of the drill my albino tell him to stop the drill to verify the depth of the drill luis grips the chuck and albino pull the iron and verifies that everything is fine and communicates that they will restart with the drilling of the other hole that moment the victim without apparent reason cross his left arm with the drill on and is caught by the drill in his working clothes causing the injury described,IV
the employee a he passed the corner of the front door for not seeing our video had a slight swelling in the frontal region due to the closing opening the glass door,I
activity continues on smaller 07 breaker arm extension cylinder local underground mine level 316 during the removal of the cylinder from the scaller arm when releasing the fixing pin the cylinder came down and bumped into the tool used to press his hand between the tool and the structure of the drum,I
being 1020 hour on 05182017 at the end of the truck truck cleaning the driver is instructed to close the gate at that moment my carlos who wa in the back for the vehicle reported having an injury to his left hand he is transferred to the medical center for his attention and later evacuation to the clinic,IV
at 0400 i on 051917 the mechanic on duty for section 40 antonio is observed in the activity of withdrawal check out of pom d071 at this moment and is impacted by a pulp of the line of discharge stuck causing irritation in the right part of the neck and ear the mechanic is referred to the medical center for evaluation,II
in moment when the 02 collaborator carried out the inspection of the conveyor belt no 3 from the tail pulley when both were at the height of the load polymer no 372 the maslucan collaborator heard a noise where note that the belt wa moving towards the tail pulley 4 fragment mineral fragment are projected towards the access of the ramp impacting the 2 collaborator being evacuated to the safety post,IV
in circumstance that the worker wa walking along the straight line of level 2790 step on a rock of approximately 10 am i 5 cm bending the right ankle which caused the injury described after the event occurred the worker decided not to report the trauma because who did not feel pain at approximately he begin to feel discomfort when walking and progressive mild pain in the ankle in that moment he communicates the event,IV
upon entering the building the maid exploded and fell just behind the automatic door in front of the entry mat and floor wa wet and slippery,II
villagers report that when trying to unlock a catholic sheet with the digger the same did not realize that the blade wa pressed twice that the cable projected and hit his face,IV
at level i in the guide wire chamber during the preparation activity of mix for the secrete the worker performs the emptying and a bag of cement towards a bucket to complete the dosage at that moment the dust generated by the cement enters by the lower part of the lens to the left eye causing irritation,IV
my emerson wa moving tray when climbing the staircase that give access to the former dining room and finding himself on the last step to slip and fall to the floor supporting the body forward suffering blow to the right knee with the floor a well a in the nose and the metal tray it wa carrying causing a cut in the nose and hematoma in the knee,III
in circumstance that the worker prepared food in the electric pot by not ensuring whose lid fall on his head causing the death described,II
in circumstance where several worker and two partner were placing a killer bomb on the basket of a manitou team the bomb hit the index finger of the right hand against the basket,II
approx 1840 hour my luis maintenance team of mobile equipment adjusted a bolt of the front loader j005a at which time his face is impacted by the key used for this activity producing a slight cut in the surface of the face he is transferred to the medical service centre and ।,II
in circumstance that the driver of the plate truck w5k915 of the ee improve went from the grit plant chichin to nv3420 after entering an internal mine in the area of santa where 200 i approx from the old dining room stop the vehicle and informs the copilot that he can no longer drive for now he turn off the vehicle and when trying to get off the van loses his balance and fall to his own seat complaining intense pain in the lumbar area citing pain due to overexertion due to routine activity evacuation of residual oil and solid waste cylinder that they previously performed the collaborator at the time of the event used their corresponding epps,IV
the employee performed insertion and adjustment of the joint in the blind flange of a 25 lb when one of the wedge shifted causing movement in the flange causing the ord and ith finger of the left hand to be pressed,IV
the convoy of the locomotive 15 operated by my tito is located in hopper op positioning the est car under the hopper the assistant doe not observe anything out of the ordinary dry load there is no presence from water and initiate the chute for this the hydraulic module of the hopper is switched on and with the control it slightly move the hopper handle and an untimely flow of water and mud splash the operator generating the described injury in hospital the collaborator wa 7 meter from the line of fire,IV
when the master additive wa taken from the afo755 license cart towards the launching team no 26 the collaborator boniface robot assistant at the moment he received the bucket emptiness of the operator enoch feel that he drop a drop of additive in the right eye feeling a burning sensation so he immediately go get wash the affected eye in the team eye then the collaborator is evacuated to nascar at the time of the accident the employee had glass but he wa not using them correctly,IV
being the driver of the aeq819 plate dump truck 35 ton wa heading to the loading area nv1850 ob to 007 bp105 parking and proceeding with the ore loading with the scoop 11 yr at that moment lift the first scoop towards the hopper and a nearby bank fall causing the tipper to shake violently and the operator to be hit into the gear lever communicate with the supervisor and evacuated to the medical center,IV
the injured and his collaborator at the time of making the 4 hope pipe which wa to be used for hydraulic filling is released causing one of the end of the pipe to impact on the lip causing an injury apparently the support 1 concentrate and release a little the noise this action generates that the pipe presented to the rubber of the victaulica cola is released generating the impact previously described the pipe wa empty without hydraulic load,III
unknown circumstance the ahk903 license plate empress which serf the supervision of ma carried out the field inspection in the upper bank 4288 when unexpectedly when climbing through the operational access positive ramp the slide in an excavated area of approximately 3 meter high remaining in position with the front part on the floor the occupant of the vehicle made use of the safety belt and all the complete epps,IV
on the surface comefor the worker of the company i c from the cut of lemon at that time imprisoned the knife causing a movement and impacting on the first finger of the left hand causing a slight cut,II
employee report that from removing the zinc sheet from the cathode to take that to the easel it slipped from his hand fell and hit his left foot,II
during the execution of the task of assembling the box of testimony box in the area of bonsucesso around orlando research driller yeosol trying to fit two part of the trestle a third piece fell on his hand which wa on the piece he held causing a small trauma to another left thumb the employee wa referred to so lucas hospital maracatu lda and attended and released without leaving work soon time,IV
the technician wa returning from his activity on the bite when he stepped on two loose rock over an sloping region she released herself unbalancing the employee who stepped on false twisting her ankle,IV
during the field activity in the am project target so luiz the reconnaissance team wa boarding the car which wa parked with the window closed when they entered the my house putting the seat belt inside the vehicle pressed a wasp between the shoulder and the neck causing a sting it is believed that possibly the bee saw nailed to the clothes because the car wa properly closed,I
after maintenance on bolted 03 at level 285 it of ramp six the mechanic and operator of the equipment performed test on an equipment magazine when unit magazine carousel wa turned on the operator had his left middle finger pressed against the equipment frame,III
being approximately approximately when lifting the kelly he used the pulley of the frame to align it when assistant marco that is in the later one is struck the hand against the frame generating the injury,III
the collaborator moved towards the infrastructure office julio to the toilet when the pin of the right shoe is hooked on the bra of the injured shoe causing not to take the step and fall untimely causing injury described,II
during the environmental monitoring activity in the area the employee got surprised by a swarming swarm of weevil during the exit of the place endured the two sting being one in the face and the other in the middle finger of the left hand,II
the employee performed the activity when stripping cathode when pulling the cathode sheet his hand hit the side of another cathode causing a blunt cut on his and finger above the left hand,II
at when the assistant cleaned the floor of module e in the central camp she slipped back and immediately grabbed the floor baskets to avoid falling to the floor suffering the described injury,II
